Filtro almacén,Filtro zona,Nº producto,Descripción producto,Cód. unidad medida,Cantidad,Cantidad (base),Cant. a traer disponible,Cód. ubicación,ItemDescription,Cant. en ubicación ajuste
BOD-CINER1,,ANF0275,"ANFORA VIENA XL NFC (2,7 Kg) - BEIGE",UNIDAD,3.00,3.,3.00,UBIA01,"ANFORA VIENA XL NFC (2,7 Kg) - BEIGE",0.00
BOD-CINER1,,ANF0278,"ÁNFORA MOLLY L NFC (1,7KG) - BEIGE",UNIDAD,1.00,1.,1.00,UBIA01,"ÁNFORA MOLLY L NFC (1,7KG) - BEIGE",0.00
BOD-CINER1,,ANF0279,"ÁNFORA MILÓ NFC (2,7 KG) - VERDE",UNIDAD,1.00,1.,1.00,UBIA01,"ÁNFORA MILÓ NFC (2,7 KG) - VERDE",0.00
BOD-CINER1,,ANF0280,"ÁNFORA MILÓ NFC (2,7 KG) - NEGRA",UNIDAD,2.00,2.,2.00,UBIA01,"ÁNFORA MILÓ NFC (2,7 KG) - NEGRA",0.00
BOD-CINER1,,ANF0281,ANFORA ECO LUNA,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA ECO LUNA,0.00
BOD-CINER1,,ANF0282,ANFORA ECO SFERA CHROMA VERDE,UNIDAD,1.00,1.,1.00,UBIA01,ANFORA ECO SFERA CHROMA VERDE,0.00
BOD-CINER1,,ANF0288,ANFORA TULIP KEEPSAKE URN YELLOW & POL SILVER,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA TULIP KEEPSAKE URN YELLOW & POL SILVER,0.00
BOD-CINER1,,ANF0289,ANFORA TULIP URN YELLOW & POLL SILVER,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA TULIP URN YELLOW & POLL SILVER,0.00
BOD-CINER1,,ANF0293,ANFORA PVC GRIS,UNIDAD,174.00,174.,174.00,UBIA01,ANFORA PVC GRIS,0.00
BOD-CINER1,,COF0007,COBRE NOBLE CON CRUZ,UNIDAD,1.00,1.,1.00,UBIA01,COBRE NOBLE CON CRUZ,0.00
BOD-CINER1,,COF0008,PLACAS DE BRONCE 8x4 cm,UNIDAD,150.00,150.,150.00,UBIA01,PLACAS DE BRONCE 8x4 cm,0.00
BOD-CINER1,,COF0010,COFRE CANCILLER (DESCONTINUADO),UNIDAD,3.00,3.,3.00,UBIA01,COFRE CANCILLER (DESCONTINUADO),0.00
BOD-CINER1,,COF0014,COFRE NOBLE SIN CRUZ,UNIDAD,3.00,3.,3.00,UBIA01,COFRE NOBLE SIN CRUZ,0.00
